DM values: ['9.999935', '10.000205', '9.999849', '10.000192']
Shift values: ['0.009124', '-0.004431', '-0.003421', '0.005836']

1it [00:00, ?it/s]
71it [00:00, 692.35it/s, bound:0 nc:  1 ncall:3.3e+02 eff:21.8% logz=-868434.35+/-0.16 dlogz:675245.979>0.1]
141it [00:00, 579.94it/s, bound:0 nc:  3 ncall:4.3e+02 eff:32.7% logz=-827486.90+/-0.16 dlogz:671254.101>0.1]
201it [00:00, 491.65it/s, bound:0 nc:  8 ncall:5.5e+02 eff:36.5% logz=-798519.32+/-0.17 dlogz:642899.367>0.1]
252it [00:00, 434.99it/s, bound:0 nc:  1 ncall:6.6e+02 eff:37.9% logz=-767879.78+/-0.17 dlogz:629947.261>0.1]
297it [00:00, 372.76it/s, bound:0 nc:  3 ncall:8.0e+02 eff:37.2% logz=-744201.77+/-0.17 dlogz:606377.251>0.1]
336it [00:00, 331.96it/s, bound:0 nc:  7 ncall:9.2e+02 eff:36.4% logz=-720793.85+/-0.17 dlogz:582926.242>0.1]
371it [00:00, 293.61it/s, bound:0 nc:  4 ncall:1.1e+03 eff:35.2% logz=-700249.76+/-0.18 dlogz:562355.646>0.1]
402it [00:01, 238.36it/s, bound:0 nc: 18 ncall:1.2e+03 eff:32.8% logz=-681639.16+/-0.18 dlogz:543731.995>0.1]
428it [00:01, 206.36it/s, bound:0 nc:  9 ncall:1.4e+03 eff:31.0% logz=-668220.31+/-0.18 dlogz:530727.108>0.1]
450it [00:01, 194.04it/s, bound:0 nc:  2 ncall:1.5e+03 eff:30.1% logz=-655914.95+/-0.18 dlogz:518702.152>0.1]
471it [00:01, 167.40it/s, bound:0 nc:  3 ncall:1.6e+03 eff:28.5% logz=-647853.81+/-0.18 dlogz:510099.942>0.1]
489it [00:01, 165.33it/s, bound:0 nc:  2 ncall:1.7e+03 eff:28.0% logz=-642553.16+/-0.18 dlogz:504644.721>0.1]
506it [00:02, 129.58it/s, bound:0 nc: 10 ncall:1.9e+03 eff:26.1% logz=-638410.97+/-0.18 dlogz:500486.758>0.1]
524it [00:02, 136.01it/s, bound:0 nc: 12 ncall:2.0e+03 eff:25.7% logz=-628146.49+/-0.18 dlogz:490151.114>0.1]
